index,date,high,low,open,close,adjust,volume
217,2015-01-05,13.0,12.9,12.9,12.9,8.06,66380
218,2015-01-06,13.3,12.8,12.8,13.2,8.25,403170
219,2015-01-07,13.6,13.1,13.2,13.6,8.5,830630
220,2015-01-08,13.8,13.4,13.6,13.6,8.5,798240
221,2015-01-09,14.5,13.6,13.6,14.5,9.06,3291280
222,2015-01-12,15.5,14.9,15.0,15.5,9.68,3509140
223,2015-01-13,16.5,15.6,15.6,16.4,10.25,4239540
224,2015-01-14,16.9,15.9,16.2,16.3,10.18,3626720
225,2015-01-15,16.9,16.3,16.3,16.4,10.25,3854730
226,2015-01-16,16.7,16.2,16.5,16.2,10.12,2253150
227,2015-01-19,16.8,16.2,16.5,16.4,10.25,3218140
228,2015-01-20,16.4,16.0,16.3,16.2,10.12,1468560
229,2015-01-21,16.3,15.7,16.2,15.7,9.81,1726690
230,2015-01-22,16.7,15.4,15.7,16.7,10.43,4915010
231,2015-01-23,17.7,17.1,17.2,17.4,10.87,5685560
232,2015-01-26,17.6,17.2,17.4,17.4,10.87,2805130
233,2015-01-27,18.0,17.1,17.3,17.4,10.87,6307270
234,2015-01-28,18.6,17.4,17.4,18.6,11.62,7664440
235,2015-01-29,18.8,17.9,18.5,18.2,11.37,4488270
236,2015-01-30,18.1,17.4,18.0,17.5,10.93,4223660
237,2015-02-02,17.7,17.2,17.4,17.2,10.75,2416500
238,2015-02-03,17.5,16.0,17.5,16.0,10.0,4755860
239,2015-02-04,15.9,15.1,15.7,15.7,9.81,4557400
240,2015-02-05,16.5,15.8,15.8,16.4,10.25,1889090
241,2015-02-06,17.4,16.3,16.5,17.4,10.87,2719610
242,2015-02-09,17.7,17.1,17.2,17.3,10.81,4560560
243,2015-02-10,18.1,17.6,17.8,17.9,11.18,3685400
244,2015-02-11,18.2,17.7,17.8,18.1,11.31,2092460
245,2015-02-12,18.2,17.5,17.8,17.8,11.12,2683000
246,2015-02-13,18.1,17.5,17.8,17.8,11.12,2237110
