index,date,high,low,open,close,adjust,volume
1380,2015-01-05,33.8,32.1,32.1,33.3,29.67,984900
1381,2015-01-06,33.4,32.1,32.1,33.4,29.76,511140
1382,2015-01-07,34.7,33.4,33.5,34.1,30.38,1487240
1383,2015-01-08,34.9,33.7,34.1,34.1,30.38,565530
1384,2015-01-09,35.6,34.0,34.2,35.0,31.18,730160
1385,2015-01-12,36.2,35.1,35.2,35.7,31.81,1374890
1386,2015-01-13,35.7,35.0,35.2,35.2,31.36,828990
1387,2015-01-14,35.4,34.3,35.1,34.6,30.83,465980
1388,2015-01-15,34.7,33.7,34.5,34.0,30.29,683540
1389,2015-01-16,35.3,34.0,34.2,35.0,31.18,721060
1390,2015-01-19,35.7,34.5,35.0,34.8,31.01,524150
1391,2015-01-20,35.2,34.5,34.5,35.0,31.18,564360
1392,2015-01-21,35.3,34.9,35.0,35.1,31.27,590070
1393,2015-01-22,35.4,34.7,35.1,35.2,31.36,532030
1394,2015-01-23,35.4,34.8,35.2,35.2,31.36,990760
1395,2015-01-26,35.3,34.8,35.3,34.8,31.01,292390
1396,2015-01-27,35.2,34.5,34.9,34.6,30.83,600110
1397,2015-01-28,36.3,34.8,34.8,35.8,31.9,735140
1398,2015-01-29,35.8,35.0,35.6,35.0,31.18,160820
1399,2015-01-30,35.6,34.5,35.6,34.5,30.74,284910
1400,2015-02-02,35.2,34.1,34.6,34.1,30.38,425460
1401,2015-02-03,35.0,34.1,34.6,34.5,30.74,538860
1402,2015-02-04,36.2,34.2,34.3,36.0,32.07,956310
1403,2015-02-05,37.5,36.0,36.0,36.8,32.79,919350
1404,2015-02-06,37.9,36.8,36.8,37.7,33.59,331920
1405,2015-02-09,38.1,37.5,37.8,37.9,33.77,840030
1406,2015-02-10,38.7,37.5,37.9,38.5,34.3,624020
1407,2015-02-11,39.2,38.5,38.8,39.0,34.75,172030
1408,2015-02-12,39.7,38.9,39.1,39.5,35.19,334530
1409,2015-02-13,40.3,39.6,39.7,39.7,35.37,571660
1410,2015-02-24,40.0,39.3,39.5,39.8,35.46,292860
1411,2015-02-25,40.4,38.6,39.8,38.6,34.39,259560
1412,2015-02-26,38.7,37.8,38.6,38.1,33.95,216360
1413,2015-02-27,38.9,37.5,38.0,37.5,33.41,416500
1414,2015-03-02,38.1,37.4,37.5,37.6,33.5,350980
1415,2015-03-03,38.5,37.9,38.0,38.5,34.3,325680
1416,2015-03-04,38.8,38.4,38.5,38.7,34.48,484110
1417,2015-03-05,38.8,38.1,38.8,38.1,33.95,761590
1418,2015-03-06,38.1,37.6,38.0,37.7,33.59,387680
1419,2015-03-09,37.6,36.7,37.6,37.1,33.05,518330
1420,2015-03-10,37.2,36.7,37.0,37.1,33.05,129430
1421,2015-03-11,37.7,36.8,37.1,37.3,33.23,279140
1422,2015-03-12,37.8,37.0,37.2,37.8,33.68,403030
1423,2015-03-13,38.0,37.4,38.0,37.5,33.41,140960
1424,2015-03-16,37.3,36.9,37.0,37.0,32.97,181410
1425,2015-03-17,37.3,36.8,36.8,37.2,33.14,308710
1426,2015-03-18,37.3,36.7,37.2,37.1,33.05,112960
1427,2015-03-19,37.0,36.1,37.2,36.2,32.25,351630
1428,2015-03-20,37.5,35.9,37.0,37.5,33.41,351100
1429,2015-03-23,37.1,36.7,36.7,36.8,32.79,625390
1430,2015-03-24,36.7,36.0,36.2,36.6,32.61,417380
1431,2015-03-25,36.8,36.1,36.5,36.1,32.16,303370
1432,2015-03-26,36.1,35.2,36.0,35.6,31.72,408590
1433,2015-03-27,35.7,33.8,35.7,34.4,30.65,424540
1434,2015-03-30,34.7,33.1,34.1,33.2,29.58,320810
1435,2015-03-31,34.7,33.2,33.3,34.2,30.47,270420
1436,2015-04-01,34.2,33.0,33.3,33.0,29.4,177010
1437,2015-04-02,35.3,33.0,33.0,35.3,31.45,296050
1438,2015-04-03,35.7,34.5,35.0,34.5,30.74,209320
1439,2015-04-06,34.6,33.6,34.5,33.6,29.94,146010
1440,2015-04-07,34.2,33.3,33.6,34.0,30.29,268570
1441,2015-04-08,34.1,33.4,34.0,33.5,29.85,271160
1442,2015-04-09,34.2,33.2,33.2,33.9,30.2,139500
1443,2015-04-10,34.8,34.0,34.2,34.1,30.38,276310
1444,2015-04-13,34.9,34.1,34.2,34.6,30.83,186700
1445,2015-04-14,34.9,34.5,34.7,34.5,30.74,201460
1446,2015-04-15,35.1,34.3,34.4,35.0,31.18,253170
1447,2015-04-16,36.0,35.5,35.7,35.6,31.72,458030
1448,2015-04-17,35.7,35.3,35.6,35.3,31.45,160200
1449,2015-04-20,35.4,34.9,35.0,35.3,31.45,168960
1450,2015-04-21,35.4,35.1,35.1,35.1,31.27,126900
1451,2015-04-22,35.2,34.9,35.1,35.0,31.18,152340
1452,2015-04-23,35.8,35.0,35.0,35.4,31.54,185840
1453,2015-04-24,35.6,35.1,35.5,35.3,31.45,183630
1454,2015-04-27,35.6,35.1,35.6,35.4,31.54,188490
1455,2015-05-04,35.1,33.9,35.0,33.9,30.2,341150
1456,2015-05-05,34.9,33.5,33.9,34.9,31.09,188470
1457,2015-05-06,34.9,34.0,34.9,34.0,30.29,141060
1458,2015-05-07,34.2,33.8,33.8,34.0,30.29,118840
1459,2015-05-08,34.8,34.0,34.0,34.4,30.65,102210
1460,2015-05-11,34.6,34.2,34.5,34.3,30.56,150430
1461,2015-05-12,34.6,33.5,34.0,33.5,29.85,150660
1462,2015-05-13,34.0,33.3,34.0,33.5,29.85,233660
1463,2015-05-14,33.6,33.4,33.5,33.4,29.76,93570
1464,2015-05-15,33.9,33.2,33.5,33.2,29.58,69290
1465,2015-05-18,33.2,32.6,33.2,32.6,29.05,86030
1466,2015-05-19,33.5,32.6,33.5,33.3,29.67,104260
1467,2015-05-20,34.4,32.9,32.9,34.3,30.56,125760
1468,2015-05-21,34.8,33.5,34.3,34.8,31.94,224020
1469,2015-05-22,35.6,34.1,34.8,35.6,32.67,257630
1470,2015-05-25,36.0,34.8,35.2,34.8,31.94,98730
