Attributes,high,low,open,close,adjust,volume
Symbols,ACB,ACB,ACB,ACB,ACB,ACB
date,,,,,,
2006-11-21,150.0,119.0,120.0,135.0,8.15,56500
2006-11-22,143.2,130.0,143.2,135.0,8.15,62300
2006-11-23,145.0,130.0,145.0,143.0,8.64,69900
2006-11-27,161.4,135.0,146.8,142.0,8.58,42400
2006-11-28,150.0,140.0,150.0,142.0,8.58,19800
2006-12-01,133.0,130.0,133.0,130.0,7.85,59300
2006-12-06,126.0,120.0,120.0,126.0,7.61,81800
2006-12-07,134.5,125.0,125.0,134.5,8.12,24200
2006-12-08,145.0,136.0,145.0,141.0,8.52,48500
2006-12-11,154.0,141.0,154.0,141.0,8.52,67600
2006-12-13,143.0,136.0,140.0,140.0,8.46,70500
2006-12-14,142.9,139.0,140.0,140.1,8.46,45600
2006-12-15,145.0,140.5,142.0,143.0,8.64,56800
2006-12-18,146.0,142.9,144.0,144.0,8.7,70400
2006-12-19,145.0,143.0,145.0,143.7,8.68,37400
2006-12-20,145.0,143.8,144.0,144.5,8.73,57400
2006-12-21,145.0,141.0,144.0,144.0,8.7,44600
2006-12-22,140.0,135.0,140.0,139.5,8.43,41000
2006-12-25,142.0,135.0,138.2,140.0,8.46,48400
2006-12-26,145.0,140.0,141.0,145.0,8.76,34000
2006-12-27,148.2,145.0,145.0,147.3,8.9,63900
2006-12-28,155.0,147.0,147.0,150.0,9.06,96000
2006-12-29,153.0,149.0,153.0,150.0,9.06,80700
2007-01-02,150.0,147.0,150.0,148.0,8.94,80300
2007-01-03,151.0,148.5,150.0,149.9,9.05,42700
2007-01-04,155.0,150.0,154.0,155.0,9.36,79800
2007-01-05,160.0,155.0,156.0,157.8,9.53,80600
2007-01-08,160.0,152.0,157.0,157.3,9.5,53100
2007-01-09,158.0,154.0,157.0,156.0,9.42,48900
2007-01-10,160.0,157.0,157.0,159.0,9.62,67700
2007-01-11,160.0,156.0,160.0,160.0,9.68,87800
2007-01-12,165.0,158.0,165.0,162.0,9.8,65300
2007-01-15,163.0,160.0,160.0,163.0,9.86,45100
2007-01-16,165.0,162.0,163.0,164.5,9.95,100800
2007-01-17,172.0,161.0,167.0,163.0,9.86,169500
2007-01-18,169.0,163.5,164.5,169.0,10.22,90800
2007-01-19,180.0,168.0,171.0,177.5,10.74,78000
2007-01-22,185.0,174.0,178.5,184.0,11.13,117500
2007-01-23,195.3,180.0,195.3,194.0,11.73,74400
2007-01-24,208.7,175.0,194.0,202.0,12.22,100800
2007-01-25,210.0,183.6,208.0,194.0,11.73,52400
2007-01-26,194.0,179.2,192.0,191.0,11.55,56900
2007-01-29,190.9,181.0,187.0,190.2,11.5,40300
2007-01-30,199.5,190.0,196.0,196.0,11.85,38200
2007-01-31,200.0,196.0,200.0,197.4,11.94,40300
2007-02-01,207.0,192.0,201.0,195.0,11.79,64300
2007-02-02,210.0,193.0,210.0,194.5,11.76,25500
2007-02-05,198.0,192.0,198.0,192.5,11.64,38200
2007-02-06,195.0,190.0,190.0,193.5,11.7,39500
2007-02-07,210.0,193.0,194.0,197.0,11.91,75400
2007-02-08,200.0,194.0,198.0,194.8,11.78,100800
2007-02-09,199.0,193.0,196.0,194.9,11.79,76200
2007-02-12,197.0,194.5,195.5,195.0,11.79,95300
2007-02-13,199.0,196.0,197.0,199.0,12.04,91600
