index,date,high,low,open,close,adjust,volume
2015,2015-01-05,15.4,15.2,15.4,15.3,4.39,55890
2016,2015-01-06,15.5,15.1,15.2,15.5,4.45,89802
2017,2015-01-07,16.0,15.5,15.5,15.7,4.5,232912
2018,2015-01-08,15.8,15.6,15.7,15.8,4.53,14920
2019,2015-01-09,16.3,15.6,15.8,15.9,4.56,693623
2020,2015-01-12,16.4,15.9,16.0,16.1,4.62,368489
2021,2015-01-13,16.7,16.1,16.1,16.5,4.73,416006
2022,2015-01-14,16.5,16.1,16.5,16.2,4.65,300420
2023,2015-01-15,16.2,15.9,16.1,15.9,4.56,244964
2024,2015-01-16,16.1,15.7,16.0,15.9,4.56,374246
2025,2015-01-19,16.2,16.0,16.1,16.1,4.62,230317
2026,2015-01-20,16.1,15.8,16.0,16.0,4.59,75172
2027,2015-01-21,16.1,15.8,16.0,15.9,4.56,205372
2028,2015-01-22,16.3,15.8,15.9,16.3,4.68,300965
2029,2015-01-23,17.2,16.2,16.2,17.1,4.91,1441874
2030,2015-01-26,17.3,17.1,17.1,17.2,4.93,343049
2031,2015-01-27,17.4,16.5,17.3,17.2,4.93,315693
2032,2015-01-28,18.2,16.9,17.1,18.0,5.16,960038
2033,2015-01-29,18.1,17.7,18.0,17.7,5.08,429100
2034,2015-01-30,17.6,16.9,17.6,17.2,4.93,478275
2035,2015-02-02,17.3,16.8,17.1,16.8,4.82,265347
2036,2015-02-03,16.9,15.9,16.8,15.9,4.56,827865
2037,2015-02-04,16.1,15.6,15.8,16.1,4.62,270500
2038,2015-02-05,16.4,16.1,16.1,16.1,4.62,74461
2039,2015-02-06,16.4,14.9,16.1,16.4,4.71,245283
2040,2015-02-09,16.6,16.1,16.4,16.1,4.62,72974
2041,2015-02-10,16.4,16.0,16.0,16.2,4.65,105679
2042,2015-02-11,16.5,16.2,16.2,16.4,4.71,90914
2043,2015-02-12,16.5,16.3,16.4,16.4,4.71,559237
2044,2015-02-13,17.1,16.5,16.5,16.8,4.82,650376
2045,2015-02-24,17.3,16.9,16.9,17.1,4.91,140871
2046,2015-02-25,17.7,17.1,17.2,17.3,4.96,672287
2047,2015-02-26,17.4,17.0,17.3,17.3,4.96,112327
2048,2015-02-27,17.4,17.0,17.4,17.0,4.88,64375
2049,2015-03-02,17.2,16.9,17.2,17.0,4.88,100854
2050,2015-03-03,17.2,16.9,17.2,16.9,4.85,603931
