date,high,low,open,close,adjust,volume
2009-12-10,29.0,25.6,25.6,25.6,14.92,504100
2009-12-11,24.4,24.4,24.4,24.4,14.22,193390
2009-12-14,24.9,23.2,23.2,23.2,13.52,346050
2009-12-15,23.2,22.1,22.4,22.1,12.88,134640
2009-12-16,21.0,21.0,21.0,21.0,12.24,64820
2009-12-17,21.8,20.0,20.0,21.5,12.53,477680
2009-12-18,22.5,22.5,22.5,22.5,13.11,123610
2009-12-21,23.6,23.6,23.6,23.6,13.75,10310
2009-12-22,24.7,22.6,24.7,24.7,14.39,908170
2009-12-23,25.0,24.0,24.1,24.1,14.04,214170
2009-12-24,25.3,23.8,24.0,25.1,14.62,362380
2009-12-25,26.3,25.1,26.0,26.3,15.32,395360
2009-12-28,26.5,25.0,25.0,25.1,14.62,463320
2009-12-29,25.0,23.9,24.0,23.9,13.93,206660
2009-12-30,25.0,23.9,25.0,24.0,13.98,139110
2009-12-31,25.0,23.8,24.8,24.0,13.98,207850
2010-01-04,25.2,24.5,24.5,25.2,14.68,302470
2010-01-05,26.4,25.2,26.3,25.4,14.8,528380
2010-01-06,26.6,24.8,25.1,26.6,15.5,445200
2010-01-07,27.9,26.6,27.9,27.9,16.26,582470
2010-01-08,29.2,26.6,29.2,26.6,15.5,465330
2010-01-11,27.6,26.0,27.5,27.0,15.73,284470
2010-01-12,27.7,25.7,26.8,25.7,14.97,211180
2010-01-13,26.4,24.5,25.7,26.4,15.38,216360
2010-01-14,27.4,26.5,27.4,26.6,15.5,275580
2010-01-15,26.6,25.8,26.5,26.0,15.15,200790
2010-01-18,25.3,24.7,25.0,24.7,14.39,306720
2010-01-19,24.0,23.5,23.5,23.5,13.69,974900
2010-01-20,23.5,22.6,22.6,22.8,13.28,327050
2010-01-21,23.4,22.5,22.8,23.0,13.4,201070
2010-01-22,23.1,22.2,22.2,23.0,13.4,356580
2010-01-25,23.0,22.3,22.5,22.9,13.34,112260
2010-01-26,23.9,23.0,23.0,23.9,13.93,194690
2010-01-27,23.7,22.8,23.1,22.8,13.28,95470
2010-01-28,22.8,22.1,22.8,22.1,12.88,51400
2010-01-29,22.2,21.3,22.0,21.6,12.58,99210
2010-02-01,21.8,21.4,21.4,21.6,12.58,21410
2010-02-02,21.6,21.2,21.6,21.5,12.53,2968030
2010-02-03,22.0,21.5,21.5,22.0,12.82,56860
2010-02-04,22.5,21.6,22.0,22.0,12.82,23350
2010-02-05,22.0,21.4,22.0,21.4,12.47,107160
2010-02-08,21.9,21.3,21.9,21.3,12.41,24640
2010-02-09,21.4,20.8,20.9,20.8,12.12,63980
