Attributes,high,low,open,close,adjust,volume
Symbols,BID,BID,BID,BID,BID,BID
date,,,,,,
2014-01-24,19.5,18.5,19.0,18.8,11.11,8417060
2014-01-27,18.8,18.1,18.7,18.4,10.87,3240910
2014-02-06,18.3,17.6,18.2,17.6,10.4,959590
2014-02-07,17.5,16.5,17.4,16.6,9.81,2987600
2014-02-10,17.2,16.2,16.5,17.0,10.04,4072090
2014-02-11,17.2,16.9,17.2,16.9,9.98,1938480
2014-02-12,16.9,16.7,16.8,16.8,9.92,1176180
2014-02-13,16.9,16.6,16.8,16.6,9.81,2156140
2014-02-14,17.0,16.6,16.8,16.8,9.92,1489380
2014-02-17,16.9,16.6,16.9,16.7,9.86,1173560
2014-02-18,16.7,16.6,16.7,16.6,9.81,1861540
2014-02-19,16.8,16.5,16.7,16.6,9.81,2988120
2014-02-20,17.2,16.6,16.7,16.9,9.98,3243650
2014-02-21,16.8,16.7,16.8,16.7,9.86,903040
2014-02-24,16.8,16.6,16.8,16.7,9.86,833430
2014-02-25,16.7,16.5,16.6,16.7,9.86,1249150
2014-02-26,16.9,16.6,16.7,16.7,9.86,1399670
2014-02-27,17.4,16.7,16.7,16.9,9.98,3731900
2014-02-28,17.0,16.8,16.8,17.0,10.04,1154560
2014-03-03,17.0,16.7,16.9,16.7,9.86,954830
2014-03-04,16.7,16.5,16.6,16.6,9.81,1551740
2014-03-05,16.8,16.6,16.7,16.6,9.81,737090
2014-03-06,16.7,16.5,16.6,16.6,9.81,768340
2014-03-07,16.7,16.6,16.6,16.6,9.81,773450
2014-03-10,16.8,16.6,16.6,16.7,9.86,957770
2014-03-11,16.7,16.6,16.6,16.6,9.81,752790
2014-03-12,16.7,16.5,16.6,16.5,9.75,979430
2014-03-13,16.6,16.4,16.6,16.5,9.75,806950
2014-03-14,16.7,16.4,16.6,16.6,9.81,924510
2014-03-17,16.7,16.5,16.6,16.6,9.81,1029350
2014-03-18,16.9,16.5,16.6,16.8,9.92,3097860
2014-03-19,17.4,16.9,16.9,17.4,10.28,5624790
2014-03-20,18.0,17.5,17.5,17.7,10.46,3325420
2014-03-21,17.8,17.5,17.5,17.5,10.34,1236010
2014-03-24,18.0,17.6,17.7,17.6,10.4,2558010
2014-03-25,17.7,17.2,17.7,17.2,10.16,2051430
2014-03-26,17.3,16.7,17.3,16.8,9.92,2030920
2014-03-27,16.9,16.7,16.9,16.8,9.92,1046180
2014-03-28,17.0,16.8,16.8,17.0,10.04,713160
2014-03-31,17.1,16.8,17.1,16.8,9.92,831760
2014-04-01,16.9,16.6,16.9,16.7,9.86,1701600
2014-04-02,16.8,16.5,16.7,16.7,9.86,1217110
2014-04-03,16.9,16.6,16.7,16.8,9.92,519700
2014-04-04,16.9,16.7,16.9,16.9,9.98,608360
2014-04-07,16.9,16.7,16.8,16.8,9.92,441790
2014-04-08,16.9,16.7,16.8,16.7,9.86,515610
2014-04-10,16.8,16.7,16.7,16.7,9.86,485550
2014-04-11,16.7,16.5,16.6,16.6,9.81,670380
2014-04-14,16.8,16.6,16.7,16.7,9.86,414100
2014-04-15,16.7,16.5,16.6,16.5,9.75,480360
2014-04-16,16.5,15.8,16.5,16.0,9.45,1065090
2014-04-17,16.4,16.0,16.0,16.1,9.51,681040
2014-04-18,16.2,15.9,16.1,15.9,9.39,763370
2014-04-21,15.9,15.4,15.9,15.5,9.16,565920
2014-04-22,15.8,15.3,15.4,15.8,9.33,609160
2014-04-23,15.9,15.6,15.9,15.8,9.33,217960
2014-04-24,15.9,15.7,15.7,15.9,9.39,288090
2014-04-25,16.0,15.7,15.7,15.7,9.27,596240
2014-04-28,15.8,15.6,15.7,15.7,9.27,336220
2014-04-29,15.8,15.7,15.7,15.8,9.33,202970
2014-05-05,15.9,15.5,15.9,15.6,9.22,361760
2014-05-06,15.6,15.1,15.5,15.2,8.98,479520
2014-05-07,15.6,15.2,15.2,15.5,9.16,274120
2014-05-08,15.3,14.5,15.3,14.6,8.62,1515840
2014-05-09,14.8,14.4,14.4,14.8,8.74,308830
2014-05-12,14.7,13.8,14.7,14.0,8.27,520700
2014-05-13,14.2,13.5,13.5,14.1,8.33,695610
2014-05-14,14.8,14.0,14.0,14.7,8.68,473470
2014-05-15,14.8,13.9,14.8,14.2,8.39,636940
2014-05-16,14.6,14.1,14.2,14.6,8.62,333670
2014-05-19,14.7,14.4,14.4,14.5,8.57,357580
2014-05-20,14.7,14.4,14.5,14.7,8.68,181780
2014-05-21,15.0,14.4,14.6,14.9,8.8,604540
2014-05-22,14.9,14.6,14.9,14.6,8.62,233070
2014-05-23,14.7,14.5,14.7,14.7,8.68,163360
2014-05-26,14.7,14.5,14.5,14.6,8.62,103450
2014-05-27,15.0,14.6,14.6,15.0,8.86,445140
2014-05-28,15.0,14.8,15.0,14.9,8.8,404820
2014-05-29,15.0,14.8,14.8,14.9,8.8,423040
