Attributes,high,low,open,close,adjust,volume
Symbols,FPT,FPT,FPT,FPT,FPT,FPT
date,,,,,,
2006-12-13,400.0,400.0,400.0,400.0,15.7,83530
2006-12-14,420.0,420.0,420.0,420.0,16.48,376710
2006-12-15,441.0,441.0,441.0,441.0,17.31,295300
2006-12-18,463.0,463.0,463.0,463.0,18.17,225790
2006-12-19,486.0,486.0,486.0,486.0,19.07,137520
2006-12-20,510.0,510.0,510.0,510.0,20.01,220120
2006-12-21,501.0,485.0,501.0,485.0,19.03,156400
2006-12-22,461.0,461.0,461.0,461.0,18.09,153500
2006-12-25,438.0,438.0,438.0,438.0,17.19,52140
2006-12-26,459.0,417.0,417.0,459.0,18.01,320150
2006-12-27,480.0,480.0,480.0,480.0,18.84,423230
2006-12-28,480.0,470.0,470.0,480.0,18.84,182460
2006-12-29,465.0,460.0,465.0,460.0,18.05,69760
2007-01-02,450.0,440.0,440.0,440.0,17.27,81170
2007-01-03,450.0,440.0,450.0,450.0,17.66,74660
2007-01-04,472.0,472.0,472.0,472.0,18.52,148510
2007-01-05,495.0,495.0,495.0,495.0,19.43,377800
2007-01-08,510.0,490.0,510.0,490.0,19.23,351470
2007-01-09,495.0,490.0,495.0,490.0,19.23,225270
2007-01-10,495.0,490.0,490.0,495.0,19.43,314250
2007-01-11,500.0,500.0,500.0,500.0,19.62,283920
2007-01-12,525.0,525.0,525.0,525.0,20.6,279710
2007-01-15,551.0,535.0,535.0,551.0,21.62,274290
2007-01-16,578.0,578.0,578.0,578.0,22.68,339760
2007-01-17,599.0,550.0,599.0,550.0,21.58,145870
2007-01-18,551.0,523.0,523.0,551.0,21.62,282430
2007-01-19,578.0,578.0,578.0,578.0,22.68,95290
2007-01-22,606.0,600.0,606.0,600.0,23.55,461630
2007-01-23,602.0,600.0,600.0,602.0,23.63,243990
2007-01-24,602.0,580.0,602.0,580.0,22.76,156420
2007-01-25,580.0,580.0,580.0,580.0,22.76,142420
2007-01-26,589.0,570.0,580.0,580.0,22.76,129240
2007-01-29,605.0,585.0,605.0,605.0,23.74,201310
2007-01-30,635.0,630.0,630.0,635.0,24.92,258290
2007-01-31,645.0,638.0,638.0,645.0,25.31,1993480
2007-02-01,647.0,620.0,647.0,620.0,24.33,736990
2007-02-02,630.0,630.0,620.0,630.0,24.72,500660
2007-02-05,620.0,599.0,599.0,599.0,23.51,110440
2007-02-06,625.0,590.0,625.0,625.0,24.53,195540
2007-02-07,635.0,606.0,635.0,635.0,24.92,116470
2007-02-08,604.0,604.0,604.0,604.0,23.7,103880
2007-02-09,574.0,574.0,574.0,574.0,22.53,194380
2007-02-12,602.0,602.0,602.0,602.0,23.63,60490
2007-02-13,632.0,620.0,630.0,630.0,24.72,160600
2007-02-14,620.0,610.0,610.0,610.0,23.94,79810
2007-02-15,610.0,610.0,610.0,610.0,23.94,59720
