index,date,high,low,open,close,adjust,volume
2005,2015-01-05,48.2,47.6,48.0,47.8,11.64,705788
2006,2015-01-06,48.1,47.3,47.5,48.1,11.71,387940
2007,2015-01-07,49.1,48.1,48.1,48.4,11.78,405560
2008,2015-01-08,48.4,47.8,48.3,47.9,11.66,521177
2009,2015-01-09,48.5,47.9,47.9,48.3,11.76,370130
2010,2015-01-12,49.2,48.3,48.3,48.6,11.83,679050
2011,2015-01-13,48.8,48.4,48.4,48.7,11.86,1792060
2012,2015-01-14,48.9,48.2,48.7,48.6,11.83,441120
2013,2015-01-15,48.8,48.4,48.8,48.7,11.86,281910
2014,2015-01-16,48.8,48.4,48.8,48.5,11.81,174340
2015,2015-01-19,48.5,48.0,48.5,48.0,11.69,367020
2016,2015-01-20,48.2,47.9,48.0,48.0,11.69,375260
2017,2015-01-21,48.8,48.2,48.2,48.4,11.78,607260
2018,2015-01-22,48.6,48.2,48.6,48.2,11.74,299200
2019,2015-01-23,48.7,48.2,48.4,48.4,11.78,386280
2020,2015-01-26,48.7,48.4,48.4,48.4,11.78,384170
2021,2015-01-27,48.6,48.0,48.3,48.0,11.69,424160
2022,2015-01-28,48.3,47.8,47.9,47.9,11.66,260670
2023,2015-01-29,48.0,47.8,47.9,47.9,11.66,224460
2024,2015-01-30,48.1,47.5,48.0,47.5,11.57,607470
2025,2015-02-02,47.8,47.3,47.6,47.4,11.54,274359
2026,2015-02-03,47.5,47.0,47.4,47.0,11.44,207170
2027,2015-02-04,47.4,46.7,47.4,46.9,11.42,307040
2028,2015-02-05,47.5,46.9,47.0,47.2,11.49,182990
2029,2015-02-06,47.5,47.2,47.5,47.3,11.52,114380
2030,2015-02-09,47.7,47.2,47.7,47.2,11.49,379860
2031,2015-02-10,47.3,47.0,47.2,47.1,11.47,604310
2032,2015-02-11,47.5,47.2,47.3,47.5,11.57,289400
2033,2015-02-12,48.2,47.8,47.9,47.8,11.64,435120
2034,2015-02-13,48.2,47.8,48.0,48.0,11.69,198830
2035,2015-02-24,48.8,48.2,48.2,48.6,11.83,541131
2036,2015-02-25,49.0,48.4,48.8,48.5,11.81,548486
2037,2015-02-26,49.0,48.4,48.4,49.0,11.93,331700
2038,2015-02-27,49.3,48.7,49.1,48.8,11.88,314940
2039,2015-03-02,49.0,48.4,49.0,48.5,11.81,471270
2040,2015-03-03,48.9,48.6,49.0,48.9,11.91,214540
2041,2015-03-04,50.5,49.2,49.2,50.0,12.17,1013500
2042,2015-03-05,51.0,50.0,50.5,50.0,12.17,393540
2043,2015-03-06,50.5,49.9,50.0,50.0,12.17,335140
2044,2015-03-09,50.0,49.2,49.9,49.2,11.98,800700
2045,2015-03-10,49.7,49.3,49.5,49.7,12.1,328390
2046,2015-03-11,49.7,49.4,49.7,49.5,12.05,293150
2047,2015-03-12,49.5,49.1,49.5,49.2,11.98,368140
2048,2015-03-13,49.7,49.1,49.5,49.2,11.98,379892
2049,2015-03-16,49.4,49.2,49.2,49.4,12.03,214490
2050,2015-03-17,50.5,49.5,49.5,50.0,12.17,747570
2051,2015-03-18,50.0,49.6,50.0,49.6,12.08,318430
2052,2015-03-19,50.0,49.5,50.0,49.5,12.05,252430
2053,2015-03-20,49.9,49.4,49.9,49.8,12.13,460900
2054,2015-03-23,49.9,49.4,49.5,49.4,12.03,274890
2055,2015-03-24,49.5,48.8,49.5,49.1,11.96,449040
2056,2015-03-25,49.5,49.0,49.5,49.2,11.98,244140
2057,2015-03-26,49.4,49.2,49.4,49.3,12.0,276070
2058,2015-03-27,49.6,49.2,49.6,49.2,11.98,226880
2059,2015-03-30,49.4,48.4,49.4,48.4,11.78,458070
2060,2015-03-31,48.7,48.4,48.4,48.4,11.78,365797
2061,2015-04-01,48.7,47.7,48.4,47.7,11.61,270910
2062,2015-04-02,48.5,47.7,47.8,48.1,11.71,268030
2063,2015-04-03,48.8,48.1,48.5,48.8,11.88,166640
2064,2015-04-06,49.1,48.5,48.8,48.5,11.81,194630
2065,2015-04-07,49.0,48.4,48.4,48.9,11.91,200220
2066,2015-04-08,49.1,48.8,49.0,48.9,11.91,191620
2067,2015-04-09,49.0,48.5,48.9,48.9,11.91,258950
2068,2015-04-10,49.4,48.8,48.9,49.2,11.98,345170
2069,2015-04-13,49.4,49.1,49.2,49.2,11.98,164060
2070,2015-04-14,49.2,48.7,49.2,48.7,11.86,224290
2071,2015-04-15,49.0,48.5,48.9,48.9,11.91,252130
2072,2015-04-16,49.2,48.7,48.9,48.8,11.88,152830
2073,2015-04-17,51.5,48.9,48.9,51.0,12.42,1497670
2074,2015-04-20,51.0,49.9,51.0,50.5,12.3,358680
2075,2015-04-21,51.0,50.0,50.5,50.0,12.17,263970
2076,2015-04-22,51.0,50.0,50.0,50.0,12.17,582690
2077,2015-04-23,51.0,49.8,50.5,50.5,12.3,641410
2078,2015-04-24,51.0,50.0,50.5,50.5,12.3,268410
2079,2015-04-27,52.5,51.0,51.5,51.5,12.54,636760
2080,2015-05-04,52.0,49.0,51.5,49.4,12.03,818280
2081,2015-05-05,50.5,49.2,49.4,50.0,12.17,464430
2082,2015-05-06,50.5,49.6,50.0,49.6,12.08,406590
2083,2015-05-07,50.5,49.6,49.8,49.9,12.15,263570
2084,2015-05-08,50.5,49.9,49.9,49.9,12.15,241080
2085,2015-05-11,50.0,49.6,50.0,49.7,12.1,229310
2086,2015-05-12,49.7,49.2,49.7,49.2,11.98,253240
2087,2015-05-13,49.3,48.7,49.2,49.2,11.98,471350
2088,2015-05-14,49.6,49.0,49.0,49.3,12.0,284980
2089,2015-05-15,49.6,49.1,49.4,49.1,11.96,242770
