date,high,low,open,close,adjust,volume
2009-06-30,60.0,60.0,60.0,60.0,16.25,294070
2009-07-01,63.0,59.5,63.0,60.5,16.38,9658390
2009-07-02,60.0,57.5,59.5,58.0,15.7,1555670
2009-07-03,57.0,56.0,56.5,56.0,15.16,941720
2009-07-06,58.5,56.0,56.0,58.5,15.84,1571740
2009-07-07,58.0,56.5,57.5,56.5,15.3,1206420
2009-07-08,56.0,54.5,55.0,55.5,15.03,1417500
2009-07-09,56.0,53.5,54.5,54.0,14.62,982430
2009-07-10,53.5,51.5,53.0,51.5,13.94,1993450
2009-07-13,51.5,49.0,50.0,49.0,13.27,883260
2009-07-14,49.2,47.5,49.2,47.8,12.94,847840
2009-07-15,49.8,48.0,48.0,49.0,13.27,857250
2009-07-16,50.0,49.4,50.0,49.8,13.48,728990
2009-07-17,49.7,48.8,49.5,49.1,13.29,382000
2009-07-20,47.3,46.7,47.1,46.8,12.67,869220
2009-07-21,47.7,46.8,47.2,46.9,12.7,483900
2009-07-22,47.6,47.2,47.5,47.5,12.86,411780
2009-07-23,49.8,47.0,47.0,49.8,13.48,929090
2009-07-24,52.0,52.0,52.0,52.0,14.08,624760
2009-07-27,54.5,52.5,54.5,54.5,14.76,1535460
2009-07-28,56.0,52.5,54.5,53.0,14.35,1242800
2009-07-29,54.0,51.5,53.5,52.5,14.21,924570
2009-07-30,52.5,50.5,52.0,51.5,13.94,606660
2009-07-31,54.0,53.0,53.5,54.0,14.62,1185450
2009-08-03,56.5,55.0,56.5,56.5,15.3,2707260
2009-08-04,59.0,57.0,59.0,58.5,15.84,1909220
2009-08-05,59.0,57.0,58.0,58.0,15.7,1654270
2009-08-06,59.0,56.5,58.0,57.0,15.43,1696340
2009-08-07,57.5,56.5,56.5,56.5,15.3,1017420
2009-08-10,58.0,56.5,57.0,57.5,15.57,689300
2009-08-11,58.0,56.5,57.0,57.0,15.43,1207840
2009-08-12,57.5,56.5,57.5,56.5,15.3,996150
2009-08-13,57.5,56.5,57.5,57.0,15.43,896790
2009-08-14,57.5,56.5,56.5,57.0,15.43,709790
2009-08-17,57.0,56.0,56.5,56.0,15.16,647790
2009-08-18,56.0,55.0,55.0,55.5,15.03,927850
2009-08-19,56.5,55.0,56.5,55.5,15.03,719390
2009-08-20,56.0,55.0,56.0,55.5,15.03,578130
2009-08-21,58.0,56.0,56.0,56.0,15.16,1469220
2009-08-24,57.0,56.0,57.0,56.5,15.3,634370
2009-08-25,56.5,55.5,56.5,55.5,15.03,577480
2009-08-26,56.5,55.5,56.0,56.0,15.16,646120
2009-08-27,56.0,55.5,56.0,56.0,15.16,538870
2009-08-28,56.5,56.0,56.5,56.5,15.3,669140
2009-08-31,57.5,56.5,57.5,57.5,15.57,874340
2009-09-01,57.5,56.5,56.5,57.0,15.43,897070
2009-09-03,56.5,54.5,56.0,56.0,15.16,1125260
2009-09-04,56.0,54.5,56.0,54.5,14.76,1015060
2009-09-07,54.5,52.0,53.0,53.0,14.35,954060
2009-09-08,54.0,53.0,54.0,53.5,14.49,733800
2009-09-09,54.0,53.0,53.5,53.5,14.49,730100
2009-09-10,53.5,53.0,53.0,53.0,14.35,412250
2009-09-11,53.5,52.5,53.0,53.0,14.35,416470
2009-09-14,53.5,52.5,53.0,53.0,14.35,588470
2009-09-15,53.5,52.5,53.5,52.5,14.21,727020
2009-09-16,55.0,55.0,55.0,55.0,14.89,926280
2009-09-17,57.5,54.0,57.5,56.0,15.16,2295540
2009-09-18,56.5,54.0,55.0,56.5,15.3,850000
2009-09-21,56.5,55.0,56.5,55.0,14.89,761980
2009-09-22,55.0,54.0,54.0,54.0,14.62,658880
2009-09-23,56.0,54.5,55.0,54.5,14.76,757950
2009-09-24,54.5,53.5,54.0,53.5,14.49,541670
2009-09-25,56.0,53.0,53.5,55.5,15.03,933140
2009-09-28,56.0,54.5,56.0,54.5,14.76,561480
2009-09-29,55.0,53.5,55.0,54.0,14.62,750310
2009-09-30,54.5,53.0,54.0,53.5,14.49,712000
2009-10-01,53.5,52.5,53.5,52.5,14.21,875180
2009-10-02,51.5,50.0,51.5,51.0,13.81,1528890
2009-10-05,51.5,50.0,51.5,51.0,13.81,606370
2009-10-06,51.5,50.5,51.5,50.5,13.67,460990
2009-10-07,51.5,50.5,51.0,51.0,13.81,596580
2009-10-08,51.5,50.5,51.5,51.0,13.81,448600
2009-10-09,52.0,51.0,51.5,51.5,13.94,794860
2009-10-12,53.0,51.5,52.0,53.0,14.35,759120
2009-10-13,53.0,51.0,53.0,52.0,14.08,513610
2009-10-14,54.5,51.5,51.5,54.5,14.76,1359110
2009-10-15,57.0,56.0,57.0,57.0,15.43,3378300
2009-10-16,59.0,56.5,57.5,56.5,15.3,2349820
2009-10-19,56.5,54.5,55.0,55.0,14.89,1040080
2009-10-20,56.0,54.5,55.5,54.5,14.76,1109450
2009-10-21,54.5,54.0,54.5,54.0,14.62,1133410
2009-10-22,55.0,54.0,54.5,55.0,14.89,1145390
2009-10-23,57.5,55.0,55.5,56.5,15.3,4091240
2009-10-26,57.5,54.5,57.0,55.0,14.89,1130810
2009-10-27,54.5,52.5,53.0,53.0,14.35,2019580
2009-10-28,54.0,52.5,54.0,53.0,14.35,703620
2009-10-29,52.5,50.5,51.5,51.0,13.81,3619050
2009-10-30,53.0,51.0,52.5,52.0,14.08,1302800
2009-11-02,53.0,50.5,52.0,53.0,14.35,2232950
2009-11-03,53.0,50.5,52.5,51.5,13.94,1390550
2009-11-04,52.5,51.0,52.0,51.5,13.94,898110
2009-11-05,53.5,51.5,51.5,53.0,14.35,1047290
2009-11-06,53.5,51.5,53.0,51.5,13.94,905910
2009-11-09,52.0,50.5,51.0,50.5,13.67,1273030
2009-11-10,51.5,49.6,51.0,49.6,13.43,973300
2009-11-11,50.5,49.5,50.0,50.0,13.54,679810
2009-11-12,51.0,49.8,50.5,50.5,13.67,948480
2009-11-13,50.0,49.6,50.0,49.8,13.48,803390
2009-11-16,50.0,49.5,49.5,49.6,13.43,770120
2009-11-17,49.5,48.9,49.4,48.9,13.24,715587
2009-11-18,48.8,48.1,48.5,48.3,13.08,536330
2009-11-19,49.3,48.0,48.4,48.9,13.24,533380
2009-11-20,48.9,48.2,48.9,48.2,13.05,585050
2009-11-23,48.1,47.2,48.0,47.2,12.78,771170
2009-11-24,47.1,46.3,47.0,46.3,12.54,585000
2009-11-25,46.0,44.0,46.0,44.0,11.91,1354618
2009-11-26,42.9,41.8,42.5,41.8,11.32,1859930
2009-11-27,43.8,39.8,39.8,43.8,11.86,1394366
2009-11-30,45.9,44.5,44.8,45.9,12.43,1215590
2009-12-01,48.1,47.5,48.0,48.1,13.02,1443350
2009-12-02,48.9,45.7,47.0,47.0,12.73,796240
2009-12-03,47.5,45.7,46.0,47.0,12.73,485690
2009-12-04,47.2,46.0,47.2,46.2,12.51,267060
2009-12-07,46.3,45.6,45.6,46.0,12.45,275960
2009-12-08,46.0,44.5,46.0,44.7,12.1,767020
2009-12-09,43.4,42.7,43.1,43.0,11.64,865220
2009-12-10,43.6,42.7,43.6,42.7,11.56,533130
2009-12-11,42.5,40.7,42.0,40.8,11.05,749300
2009-12-14,42.8,41.8,42.8,42.8,11.59,647264
2009-12-15,44.9,42.5,42.8,44.9,12.16,996610
2009-12-16,45.0,43.0,44.9,43.0,11.64,889550
2009-12-17,45.0,42.0,42.8,44.0,11.91,462480
2009-12-18,46.2,45.0,45.0,46.2,12.51,722180
2009-12-21,48.0,46.2,46.2,47.6,12.89,561830
2009-12-22,47.2,46.0,46.0,46.6,12.62,407540
2009-12-23,46.6,46.0,46.6,46.2,12.51,296080
2009-12-24,46.0,45.5,45.6,46.0,12.45,416050
2009-12-25,48.0,47.0,48.0,47.0,12.73,685690
2009-12-28,46.4,45.9,46.1,46.0,12.45,264190
2009-12-29,46.5,45.0,45.0,45.2,12.24,3192830
2009-12-30,45.9,44.8,44.8,45.6,12.35,433790
2009-12-31,47.0,45.6,46.0,47.0,12.73,398120
2010-01-04,49.3,47.0,47.0,49.3,13.35,598640
2010-01-05,51.5,49.3,51.0,49.8,13.48,935140
2010-01-06,49.8,48.0,48.1,48.0,13.0,479840
2010-01-07,48.1,47.0,48.0,47.0,12.73,207490
2010-01-08,47.8,46.9,47.6,47.0,12.73,351610
2010-01-11,47.5,44.8,47.5,47.0,12.73,432620
2010-01-12,47.0,45.5,46.5,45.5,12.32,269580
2010-01-13,47.0,43.5,43.5,47.0,12.73,469510
2010-01-14,47.2,46.0,47.0,46.4,12.56,129590
2010-01-15,45.9,45.3,45.5,45.3,12.27,213500
2010-01-18,45.0,43.5,45.0,43.5,11.78,332360
2010-01-19,44.7,43.8,44.0,44.7,12.1,208770
2010-01-20,45.4,43.8,45.4,43.8,11.86,154590
2010-01-21,44.0,43.0,43.8,43.0,11.64,441690
2010-01-22,43.5,42.2,43.0,42.5,11.51,331220
2010-01-25,42.6,42.3,42.3,42.5,11.51,161220
2010-01-26,43.7,42.6,43.5,42.8,11.59,279270
2010-01-27,43.5,42.7,43.1,42.8,11.59,168830
2010-01-28,43.0,42.3,42.5,42.3,11.45,134440
2010-01-29,42.3,42.0,42.3,42.0,11.37,162850
2010-02-01,42.4,41.8,42.0,41.8,11.32,108370
2010-02-02,43.0,42.0,43.0,42.3,11.45,260860
2010-02-03,43.5,42.8,43.0,43.5,11.78,454020
2010-02-04,44.5,43.4,43.5,44.5,12.05,341670
2010-02-05,44.0,43.5,44.0,43.7,11.83,220730
2010-02-08,43.7,42.9,42.9,43.7,11.83,146740
2010-02-09,43.4,42.6,43.2,42.6,11.53,200320
2010-02-10,43.8,43.0,43.0,43.5,11.78,77640
2010-02-11,44.5,43.6,43.6,44.5,12.05,229520
2010-02-12,45.1,44.4,45.0,44.5,12.05,191060
2010-02-22,45.7,45.0,45.0,45.2,12.24,282530
2010-02-23,45.2,44.6,45.2,45.2,12.24,473230
2010-02-24,46.5,44.8,45.3,46.5,12.59,708110
2010-02-25,47.0,45.8,46.5,47.0,12.73,764780
2010-02-26,49.0,46.7,46.8,49.0,13.27,896140
2010-03-01,50.0,49.0,49.0,49.8,13.48,569580
2010-03-02,48.9,47.4,48.6,47.4,12.83,438130
2010-03-03,48.0,47.0,47.5,47.8,12.94,220550
2010-03-04,48.0,47.1,48.0,47.1,12.75,180180
2010-03-05,47.5,46.9,46.9,46.9,12.7,131760
2010-03-08,47.4,46.5,46.9,46.9,12.7,349730
2010-03-09,48.0,46.9,46.9,48.0,13.0,505880
2010-03-10,48.1,47.7,47.8,47.9,13.3,268350
2010-03-11,48.2,47.5,48.2,47.5,13.19,90870
2010-03-12,47.8,47.1,47.8,47.5,13.19,200050
2010-03-15,47.6,47.0,47.5,47.0,13.05,335920
2010-03-16,46.5,45.8,46.5,45.8,12.72,289410
2010-03-17,46.5,45.0,46.0,45.0,12.5,212650
2010-03-18,45.5,44.9,45.0,45.1,12.52,262660
2010-03-19,45.1,44.6,45.1,44.6,12.39,326180
2010-03-22,45.8,44.5,44.5,44.8,12.44,192140
2010-03-23,46.0,44.8,44.9,44.9,12.47,200810
2010-03-24,45.2,44.8,45.0,45.2,12.55,124330
2010-03-25,44.9,44.0,44.6,44.2,12.27,135370
2010-03-26,45.5,44.0,44.2,45.5,12.64,1284850
2010-03-29,45.5,44.8,45.1,44.9,12.47,165200
2010-03-30,44.8,44.2,44.5,44.2,12.27,1119080
2010-03-31,44.8,44.0,44.1,44.0,12.22,148860
2010-04-01,44.2,43.9,44.2,44.2,12.27,268010
2010-04-02,45.0,44.0,45.0,44.3,12.3,190480
2010-04-05,45.0,44.5,44.9,44.7,12.41,265780
2010-04-06,44.8,44.5,44.7,44.5,12.36,248550
2010-04-07,44.5,44.1,44.5,44.3,12.3,167350
2010-04-08,44.3,43.9,44.0,43.9,12.19,266300
2010-04-09,44.2,43.6,43.6,44.0,12.22,230040
2010-04-12,44.5,44.0,44.1,44.5,12.36,295540
2010-04-13,44.5,43.9,44.2,43.9,12.19,117080
2010-04-14,43.9,43.5,43.9,43.6,12.11,83880
2010-04-15,44.0,43.5,44.0,43.6,12.11,300830
2010-04-16,43.7,43.2,43.6,43.2,12.0,226720
2010-04-19,43.1,42.8,43.0,42.8,11.89,154570
2010-04-20,42.9,42.3,42.8,42.4,11.77,200870
2010-04-21,42.5,42.3,42.3,42.5,11.8,146630
2010-04-22,44.3,42.7,42.8,43.8,12.16,210380
2010-04-26,44.0,43.4,43.8,43.4,12.05,205770
2010-04-27,44.0,43.4,43.5,43.9,12.19,273440
2010-04-28,43.8,43.4,43.7,43.5,12.08,111590
2010-04-29,43.3,43.0,43.2,43.0,11.94,167650
2010-05-04,44.9,43.0,43.0,44.2,12.27,331060
2010-05-05,44.0,43.3,44.0,43.3,12.02,102950
2010-05-06,43.3,42.9,43.0,42.9,11.91,209480
2010-05-07,42.7,42.2,42.5,42.5,11.8,285430
2010-05-10,42.6,41.7,42.3,42.5,11.8,443310
2010-05-11,43.0,42.2,43.0,42.5,11.8,261630
2010-05-12,42.3,41.5,42.0,41.5,11.52,431400
2010-05-13,42.4,41.5,42.4,41.7,11.58,324040
2010-05-14,42.1,41.7,42.1,41.7,11.58,227070
2010-05-17,41.9,41.0,41.9,41.4,11.5,347520
2010-05-18,41.4,40.6,40.6,41.4,11.5,206540
2010-05-19,41.1,40.6,40.7,40.6,11.27,429800
2010-05-20,40.8,40.0,40.0,40.8,11.33,443540
2010-05-21,39.9,39.1,39.2,39.1,10.86,583870
2010-05-24,40.0,39.1,39.1,40.0,11.11,281430
2010-05-25,40.2,39.9,40.0,40.2,11.16,378760
2010-05-26,40.3,40.0,40.1,40.0,11.11,309750
2010-05-27,40.1,39.9,40.0,40.1,11.14,230180
2010-05-28,41.0,40.1,40.5,41.0,11.39,232910
