Attributes,high,low,open,close,adjust,volume
Symbols,VND,VND,VND,VND,VND,VND
date,,,,,,
2020-01-02,14.45,14.05,14.05,14.45,2.18,58580
2020-01-03,14.45,14.15,14.45,14.4,2.17,163940
2020-01-06,14.4,14.1,14.2,14.3,2.16,149130
2020-01-07,14.3,14.1,14.3,14.3,2.16,68060
2020-01-08,14.15,13.8,14.1,14.1,2.12,233880
2020-01-09,14.25,14.1,14.1,14.25,2.15,92680
2020-01-10,14.3,14.2,14.25,14.3,2.16,89810
2020-01-13,14.35,14.2,14.3,14.3,2.16,109370
2020-01-14,14.35,14.05,14.05,14.25,2.15,116130
2020-01-15,14.35,14.15,14.25,14.2,2.14,109910
2020-01-16,14.4,14.1,14.35,14.4,2.17,128120
2020-01-17,14.45,14.0,14.45,14.45,2.18,198600
2020-01-20,14.55,14.3,14.3,14.45,2.18,1952730
2020-01-21,14.5,14.4,14.5,14.5,2.19,151950
2020-01-22,15.1,14.5,14.6,15.1,2.28,441020
2020-01-30,15.0,14.5,15.0,14.95,2.25,217470
2020-01-31,14.9,14.3,14.5,14.7,2.22,271930
2020-02-03,14.55,13.7,14.0,14.0,2.11,854260
2020-02-04,14.0,13.35,14.0,14.0,2.11,617580
2020-02-05,14.1,13.7,13.9,14.1,2.12,104530
2020-02-06,14.2,13.35,14.1,14.1,2.12,210290
2020-02-07,14.2,13.8,14.0,14.05,2.12,158540
2020-02-10,14.0,13.8,13.85,13.85,2.09,31640
2020-02-11,14.15,13.7,13.75,14.15,2.13,173340
2020-02-12,14.3,13.95,14.0,14.3,2.16,313910
2020-02-13,14.25,14.0,14.25,14.15,2.13,65030
2020-02-14,14.2,13.9,14.15,14.2,2.14,137900
2020-02-17,14.35,14.0,14.2,14.3,2.16,231090
2020-02-18,14.3,13.8,14.3,14.2,2.14,605060
2020-02-19,14.2,13.85,13.9,14.2,2.14,258870
2020-02-20,14.15,13.85,14.0,14.1,2.12,203430
2020-02-21,14.05,13.8,13.9,14.05,2.12,328310
2020-02-24,13.8,13.2,13.7,13.55,2.04,563990
2020-02-25,13.7,13.2,13.25,13.7,2.06,471360
2020-02-26,13.65,13.25,13.4,13.65,2.06,304540
2020-02-27,13.7,13.3,13.4,13.7,2.06,3216890
2020-02-28,13.5,13.1,13.4,13.5,2.03,283960
2020-03-02,13.5,13.25,13.3,13.5,2.03,213020
2020-03-03,13.8,13.3,13.5,13.8,2.08,519750
2020-03-04,13.75,13.4,13.55,13.75,2.07,342750
2020-03-05,13.75,13.5,13.75,13.75,2.07,166170
2020-03-06,13.75,13.55,13.55,13.75,2.07,237500
2020-03-09,13.5,12.8,13.45,13.5,2.03,1249660
2020-03-10,13.5,12.85,12.9,13.5,2.03,585660
2020-03-11,14.4,12.9,13.4,14.4,2.17,389190
2020-03-12,14.35,13.4,14.35,13.4,2.02,2044240
2020-03-13,13.3,12.5,12.5,13.3,2.0,665130
2020-03-16,13.2,12.5,12.9,13.2,1.99,657000
2020-03-17,13.25,12.45,13.2,13.2,1.99,351090
2020-03-18,13.2,12.8,12.85,13.0,1.96,298780
2020-03-19,12.95,12.45,12.7,12.95,1.95,414640
2020-03-20,12.95,12.55,12.65,12.7,1.91,5185470
2020-03-23,12.0,11.85,11.9,11.85,1.79,164420
2020-03-24,11.8,11.05,11.05,11.5,1.73,379870
2020-03-25,11.85,11.25,11.5,11.7,1.76,413700
2020-03-26,11.5,10.9,11.4,11.5,1.73,606350
2020-03-27,11.5,10.7,11.0,11.45,1.73,380090
2020-03-30,11.4,10.65,10.75,11.35,1.71,338160
2020-03-31,11.35,10.7,10.8,11.35,1.71,365190
2020-04-01,11.4,10.85,10.85,11.1,1.67,4153430
2020-04-03,11.4,11.0,11.1,11.15,1.68,482440
2020-04-06,11.5,11.1,11.15,11.4,1.72,1161690
2020-04-07,11.4,10.95,11.4,11.3,1.7,772910
2020-04-08,11.2,10.8,11.0,11.0,1.66,761880
2020-04-09,11.75,10.9,11.0,11.5,1.73,1567080
2020-04-10,11.65,11.2,11.6,11.5,1.73,1020600
2020-04-13,11.7,11.35,11.5,11.35,1.71,740970
2020-04-14,11.4,11.1,11.4,11.25,1.7,811380
2020-04-15,11.55,11.25,11.25,11.35,1.71,713990
2020-04-16,11.8,11.2,11.4,11.7,1.76,1085770
2020-04-17,12.25,11.9,11.95,12.25,1.85,1563540
2020-04-20,12.35,11.8,12.3,11.8,1.78,1054800
2020-04-21,11.5,11.0,11.2,11.0,1.66,1768960
2020-04-22,11.45,10.45,10.5,11.15,1.68,1755810
2020-04-23,11.35,10.95,11.2,11.1,1.67,885930
2020-04-24,11.15,10.75,11.15,10.9,1.64,3545210
2020-04-27,11.15,10.9,11.0,10.95,1.65,653770
2020-04-28,11.0,10.7,11.0,10.85,1.64,918860
2020-04-29,11.0,10.8,10.95,10.95,1.65,341480
2020-05-04,10.9,10.75,10.9,10.75,1.62,462800
2020-05-05,10.8,10.65,10.75,10.7,1.61,259120
2020-05-06,10.9,10.65,10.7,10.9,1.64,418620
2020-05-07,11.05,10.8,10.9,11.0,1.66,775900
2020-05-08,11.4,11.1,11.1,11.15,1.68,1099470
2020-05-11,11.8,11.4,11.8,11.8,1.78,1691260
2020-05-12,12.4,11.8,11.9,12.25,1.85,2214440
2020-05-13,12.25,11.8,12.0,12.05,1.82,997180
2020-05-14,12.4,11.7,11.8,12.25,1.85,1533990
2020-05-15,12.3,11.9,12.3,11.95,1.8,998670
2020-05-18,12.05,11.8,11.9,12.0,1.81,613630
2020-05-19,12.4,12.1,12.35,12.2,1.84,941120
2020-05-20,12.2,11.95,12.05,12.2,1.84,366980
2020-05-21,12.2,12.05,12.2,12.1,1.82,285510
